Action;SectionID;ParentSectionID;Duration;Complexity
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;283883;1
per_chunk_sort_run_1;3;1;72162;1
reshaping_run_1;4;1;736;2
shifting_and_subtraction_run_1;5;1;3412;1
boolean_comparison_run_1;6;1;1180;1
transpose_run_1;7;1;1322;1
transpose_run_1;8;1;1915;2
outerProduct_run_1;9;1;1089;1
matrixMultiplication_run_1;10;1;566;1
colSums_run_1;11;1;1395;1
colSums_run_1;12;1;1169;2
combine_run_1;13;1;1438;1
full_run_run_1;1;0;371778;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;286885;1
per_chunk_sort_run_1;3;1;62007;1
reshaping_run_1;4;1;748;2
shifting_and_subtraction_run_1;5;1;3647;1
boolean_comparison_run_1;6;1;1141;1
transpose_run_1;7;1;1215;1
transpose_run_1;8;1;1669;2
outerProduct_run_1;9;1;1328;1
matrixMultiplication_run_1;10;1;691;1
colSums_run_1;11;1;1262;1
colSums_run_1;12;1;1205;2
combine_run_1;13;1;1539;1
full_run_run_1;1;0;364693;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;284494;1
per_chunk_sort_run_1;3;1;60595;1
reshaping_run_1;4;1;702;2
shifting_and_subtraction_run_1;5;1;3792;1
boolean_comparison_run_1;6;1;1118;1
transpose_run_1;7;1;1205;1
transpose_run_1;8;1;1652;2
outerProduct_run_1;9;1;1185;1
matrixMultiplication_run_1;10;1;593;1
colSums_run_1;11;1;1170;1
colSums_run_1;12;1;1165;2
combine_run_1;13;1;1453;1
full_run_run_1;1;0;360273;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;287335;1
per_chunk_sort_run_1;3;1;65273;1
reshaping_run_1;4;1;637;2
shifting_and_subtraction_run_1;5;1;3441;1
boolean_comparison_run_1;6;1;1073;1
transpose_run_1;7;1;1317;1
transpose_run_1;8;1;1748;2
outerProduct_run_1;9;1;1053;1
matrixMultiplication_run_1;10;1;567;1
colSums_run_1;11;1;1213;1
colSums_run_1;12;1;1143;2
combine_run_1;13;1;1448;1
full_run_run_1;1;0;367745;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;284500;1
per_chunk_sort_run_1;3;1;67097;1
reshaping_run_1;4;1;682;2
shifting_and_subtraction_run_1;5;1;3364;1
boolean_comparison_run_1;6;1;1126;1
transpose_run_1;7;1;1337;1
transpose_run_1;8;1;1747;2
outerProduct_run_1;9;1;1088;1
matrixMultiplication_run_1;10;1;548;1
colSums_run_1;11;1;1244;1
colSums_run_1;12;1;1228;2
combine_run_1;13;1;1560;1
full_run_run_1;1;0;366818;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;283910;1
per_chunk_sort_run_1;3;1;53454;1
reshaping_run_1;4;1;637;2
shifting_and_subtraction_run_1;5;1;3410;1
boolean_comparison_run_1;6;1;1067;1
transpose_run_1;7;1;1345;1
transpose_run_1;8;1;1630;2
outerProduct_run_1;9;1;1303;1
matrixMultiplication_run_1;10;1;539;1
colSums_run_1;11;1;1178;1
colSums_run_1;12;1;1163;2
combine_run_1;13;1;1470;1
full_run_run_1;1;0;352319;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;283855;1
per_chunk_sort_run_1;3;1;66471;1
reshaping_run_1;4;1;708;2
shifting_and_subtraction_run_1;5;1;3387;1
